#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|                  rnd.data_token|  3.67e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
      rgb_lagged_sum|  20|   1000000|     100|0.54349721|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.00000006|  FAILED  
      rgb_lagged_sum|  22|   1000000|     100|0.14026033|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.00000003|  FAILED  
      rgb_lagged_sum|  24|   1000000|     100|0.72998500|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.12579842|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.70576094|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.00012524|   WEAK   
      rgb_lagged_sum|  28|   1000000|     100|0.16533341|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.00403306|   WEAK   
      rgb_lagged_sum|  30|   1000000|     100|0.44328470|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.00000000|  FAILED  
      rgb_lagged_sum|  32|   1000000|     100|0.95787518|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.88925619|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.00000000|  FAILED  
             dab_dct| 256|     50000|       1|0.45831336|  PASSED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.53558198|  PASSED  
        dab_filltree|  32|  15000000|       1|0.16602131|  PASSED  
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.27237081|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.31566434|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|1.00000000|  FAILED  
